timestamp,price_aud_mwh,demand_gw,solar_gw,wind_gw,temperature_c,cloud_cover_pct,wind_speed_kmh,solar_radiation_wm2,region
2026-01-06 00:00:00,27.96,25.97,0.0,2.16,9.7,50,22.6,0,NSW
2026-01-06 01:00:00,21.24,24.22,0.01,2.09,10.3,61,18.5,1,NSW
2026-01-06 02:00:00,32.88,23.75,0.02,3.8,11.5,43,28.3,3,NSW
2026-01-06 03:00:00,46.78,22.31,0.05,3.58,14.9,33,19.2,9,NSW
2026-01-06 04:00:00,30.05,16.97,0.15,6.16,13.6,38,29.8,22,NSW
2026-01-06 05:00:00,35.09,17.54,0.34,4.25,15.8,45,18.7,49,NSW
2026-01-06 06:00:00,62.24,16.22,0.64,6.23,22.6,37,25.3,104,NSW
2026-01-06 07:00:00,57.88,15.88,1.35,3.42,21.8,37,21.1,191,NSW
2026-01-06 08:00:00,48.07,14.75,2.09,3.16,22.6,77,28.4,256,NSW
2026-01-06 09:00:00,64.57,12.0,3.0,3.73,26.2,57,22.1,421,NSW
2026-01-06 10:00:00,55.88,14.84,4.02,6.12,28.1,44,25.1,594,NSW
2026-01-06 11:00:00,58.05,14.61,4.99,6.74,32.9,65,21.0,630,NSW
2026-01-06 12:00:00,67.42,17.7,5.32,4.22,32.0,41,26.9,752,NSW
2026-01-06 13:00:00,41.07,21.4,4.33,4.52,32.1,42,20.0,708,NSW
2026-01-06 14:00:00,41.53,22.46,3.43,3.76,30.5,45,28.6,591,NSW
2026-01-06 15:00:00,52.49,25.79,2.62,3.04,29.2,73,17.0,386,NSW
2026-01-06 16:00:00,43.13,26.51,2.17,5.45,23.9,49,14.7,297,NSW
2026-01-06 17:00:00,54.41,25.71,1.43,4.81,22.4,22,22.8,205,NSW
2026-01-06 18:00:00,34.74,25.15,0.65,4.42,18.3,64,15.6,91,NSW
2026-01-06 19:00:00,112.25,29.95,0.29,2.82,17.3,43,16.9,49,NSW
2026-01-06 20:00:00,53.57,29.68,0.16,5.64,16.7,23,14.7,23,NSW
2026-01-06 21:00:00,29.29,28.26,0.06,3.26,13.5,39,9.7,8,NSW
2026-01-06 22:00:00,29.79,26.38,0.02,4.05,14.3,46,13.8,3,NSW
2026-01-06 23:00:00,10.04,26.55,0.01,1.81,8.4,42,18.5,1,NSW
2026-01-07 00:00:00,20.07,25.71,0.0,2.81,11.3,57,16.8,0,NSW
2026-01-07 01:00:00,-29.25,25.07,0.0,3.03,8.2,22,13.3,1,NSW
2026-01-07 02:00:00,15.75,22.28,0.02,2.81,11.9,30,16.5,3,NSW
2026-01-07 03:00:00,37.38,22.34,0.05,2.39,14.8,19,7.8,9,NSW
2026-01-07 04:00:00,29.94,16.45,0.15,2.49,15.0,6,10.8,25,NSW
2026-01-07 05:00:00,38.59,17.66,0.27,0.65,18.9,33,13.9,51,NSW
2026-01-07 06:00:00,40.16,15.14,0.68,1.78,18.5,26,12.3,109,NSW
2026-01-07 07:00:00,74.89,15.31,1.23,1.53,19.7,23,12.4,204,NSW
2026-01-07 08:00:00,57.42,13.35,1.9,1.5,26.6,23,9.3,336,NSW
2026-01-07 09:00:00,49.13,15.88,3.48,1.22,31.0,8,6.7,528,NSW
2026-01-07 10:00:00,74.96,15.51,3.48,0.0,27.2,4,19.2,709,NSW
2026-01-07 11:00:00,52.51,15.32,4.45,0.0,32.6,16,17.9,797,NSW
2026-01-07 12:00:00,186.45,17.98,5.55,0.0,30.6,29,21.6,796,NSW
2026-01-07 13:00:00,43.79,19.57,3.84,1.83,27.5,34,17.3,736,NSW
2026-01-07 14:00:00,49.43,22.73,4.28,1.9,26.9,25,17.2,649,NSW
2026-01-07 15:00:00,64.61,22.3,3.42,2.0,27.7,17,21.0,509,NSW
2026-01-07 16:00:00,210.49,25.96,2.41,1.57,24.8,21,25.3,339,NSW
2026-01-07 17:00:00,55.42,28.25,1.43,0.0,20.6,19,21.7,207,NSW
2026-01-07 18:00:00,217.6,28.98,0.63,0.56,17.2,9,26.4,117,NSW
2026-01-07 19:00:00,216.21,31.75,0.34,1.95,16.3,23,19.6,54,NSW
2026-01-07 20:00:00,20.52,31.16,0.12,2.14,16.0,9,23.3,25,NSW
2026-01-07 21:00:00,83.18,29.72,0.05,2.01,13.6,26,23.7,9,NSW
2026-01-07 22:00:00,25.43,29.25,0.02,2.85,11.0,49,28.8,3,NSW
2026-01-07 23:00:00,41.64,28.1,0.01,2.75,11.4,42,24.5,1,NSW
2026-01-08 00:00:00,32.39,26.6,0.0,3.12,12.8,24,30.2,0,NSW
2026-01-08 01:00:00,7.78,21.33,0.01,2.62,11.8,37,17.2,1,NSW
2026-01-08 02:00:00,34.8,21.55,0.02,4.5,11.8,30,22.4,3,NSW
2026-01-08 03:00:00,29.43,17.7,0.05,3.33,15.5,42,21.7,8,NSW
2026-01-08 04:00:00,108.0,19.92,0.14,2.67,13.8,57,22.5,20,NSW
2026-01-08 05:00:00,50.28,16.25,0.39,3.45,17.7,55,15.8,46,NSW
2026-01-08 06:00:00,60.44,14.78,0.62,4.07,20.4,79,24.7,83,NSW
