region,region_datetime,carbon_intensity
AU-NSW,2025-10-01 00:00:00,679.1
AU-NSW,2025-10-01 01:00:00,736.2
AU-NSW,2025-10-01 02:00:00,742.7
AU-NSW,2025-10-01 03:00:00,748.6
AU-NSW,2025-10-01 04:00:00,664.7
AU-NSW,2025-10-01 05:00:00,655.3
AU-NSW,2025-10-01 06:00:00,622.2
AU-NSW,2025-10-01 07:00:00,749.5
AU-NSW,2025-10-01 08:00:00,733.1
AU-NSW,2025-10-01 09:00:00,696.5
AU-NSW,2025-10-01 10:00:00,783.1
AU-NSW,2025-10-01 11:00:00,627.8
AU-NSW,2025-10-01 12:00:00,631.9
AU-NSW,2025-10-01 13:00:00,629.2
AU-NSW,2025-10-01 14:00:00,553.2
AU-NSW,2025-10-01 15:00:00,702.0
AU-NSW,2025-10-01 16:00:00,708.1
AU-NSW,2025-10-01 17:00:00,723.6
AU-NSW,2025-10-01 18:00:00,722.8
AU-NSW,2025-10-01 19:00:00,746.8
AU-NSW,2025-10-01 20:00:00,747.6
AU-NSW,2025-10-01 21:00:00,720.0
AU-NSW,2025-10-01 22:00:00,667.8
AU-NSW,2025-10-01 23:00:00,688.9
AU-NSW,2025-10-02 00:00:00,606.9
AU-NSW,2025-10-02 01:00:00,725.4
AU-NSW,2025-10-02 02:00:00,715.5
AU-NSW,2025-10-02 03:00:00,758.3
AU-NSW,2025-10-02 04:00:00,722.3
AU-NSW,2025-10-02 05:00:00,612.3
AU-NSW,2025-10-02 06:00:00,644.7
AU-NSW,2025-10-02 07:00:00,759.0
AU-NSW,2025-10-02 08:00:00,754.0
AU-NSW,2025-10-02 09:00:00,655.4
AU-NSW,2025-10-02 10:00:00,643.6
AU-NSW,2025-10-02 11:00:00,634.4
AU-NSW,2025-10-02 12:00:00,600.0
AU-NSW,2025-10-02 13:00:00,551.9
AU-NSW,2025-10-02 14:00:00,637.5
AU-NSW,2025-10-02 15:00:00,690.4
AU-NSW,2025-10-02 16:00:00,659.0
AU-NSW,2025-10-02 17:00:00,749.0
AU-NSW,2025-10-02 18:00:00,713.1
AU-NSW,2025-10-02 19:00:00,735.7
AU-NSW,2025-10-02 20:00:00,731.9
AU-NSW,2025-10-02 21:00:00,690.4
AU-NSW,2025-10-02 22:00:00,620.8
AU-NSW,2025-10-02 23:00:00,670.1
AU-NSW,2025-10-03 00:00:00,704.3
AU-NSW,2025-10-03 01:00:00,674.2
AU-NSW,2025-10-03 02:00:00,733.1
AU-NSW,2025-10-03 03:00:00,717.2
AU-NSW,2025-10-03 04:00:00,693.6
AU-NSW,2025-10-03 05:00:00,662.4
AU-NSW,2025-10-03 06:00:00,707.7
AU-NSW,2025-10-03 07:00:00,762.7
AU-NSW,2025-10-03 08:00:00,808.7
AU-NSW,2025-10-03 09:00:00,684.8
AU-NSW,2025-10-03 10:00:00,674.3
AU-NSW,2025-10-03 11:00:00,613.8
AU-NSW,2025-10-03 12:00:00,554.2
AU-NSW,2025-10-03 13:00:00,579.0
AU-NSW,2025-10-03 14:00:00,605.6
AU-NSW,2025-10-03 15:00:00,709.4
AU-NSW,2025-10-03 16:00:00,682.5
AU-NSW,2025-10-03 17:00:00,693.8
AU-NSW,2025-10-03 18:00:00,681.3
AU-NSW,2025-10-03 19:00:00,802.0
AU-NSW,2025-10-03 20:00:00,737.1
AU-NSW,2025-10-03 21:00:00,734.2
AU-NSW,2025-10-03 22:00:00,755.8
AU-NSW,2025-10-03 23:00:00,690.0
AU-NSW,2025-10-04 00:00:00,639.9
AU-NSW,2025-10-04 01:00:00,686.1
AU-NSW,2025-10-04 02:00:00,677.1
AU-NSW,2025-10-04 03:00:00,681.4
AU-NSW,2025-10-04 04:00:00,644.8
AU-NSW,2025-10-04 05:00:00,657.7
AU-NSW,2025-10-04 06:00:00,614.7
AU-NSW,2025-10-04 07:00:00,674.9
AU-NSW,2025-10-04 08:00:00,737.0
AU-NSW,2025-10-04 09:00:00,623.9
AU-NSW,2025-10-04 10:00:00,660.4
AU-NSW,2025-10-04 11:00:00,623.5
AU-NSW,2025-10-04 12:00:00,601.2
AU-NSW,2025-10-04 13:00:00,669.1
AU-NSW,2025-10-04 14:00:00,580.6
AU-NSW,2025-10-04 15:00:00,699.7
AU-NSW,2025-10-04 16:00:00,701.7
AU-NSW,2025-10-04 17:00:00,687.6
AU-NSW,2025-10-04 18:00:00,715.1
AU-NSW,2025-10-04 19:00:00,708.7
AU-NSW,2025-10-04 20:00:00,706.6
AU-NSW,2025-10-04 21:00:00,643.7
AU-NSW,2025-10-04 22:00:00,686.6
AU-NSW,2025-10-04 23:00:00,677.6
AU-NSW,2025-10-05 00:00:00,691.3
AU-NSW,2025-10-05 01:00:00,638.1
AU-NSW,2025-10-05 02:00:00,701.5
AU-NSW,2025-10-05 03:00:00,639.0
AU-NSW,2025-10-05 04:00:00,782.8
AU-NSW,2025-10-05 05:00:00,648.3
AU-NSW,2025-10-05 06:00:00,655.6
AU-NSW,2025-10-05 07:00:00,712.5
AU-NSW,2025-10-05 08:00:00,741.8
AU-NSW,2025-10-05 09:00:00,721.1
AU-NSW,2025-10-05 10:00:00,613.0
AU-NSW,2025-10-05 11:00:00,650.9
AU-NSW,2025-10-05 12:00:00,637.4
AU-NSW,2025-10-05 13:00:00,641.3
AU-NSW,2025-10-05 14:00:00,625.2
AU-NSW,2025-10-05 15:00:00,566.2
AU-NSW,2025-10-05 16:00:00,645.6
AU-NSW,2025-10-05 17:00:00,772.1
AU-NSW,2025-10-05 18:00:00,690.8
AU-NSW,2025-10-05 19:00:00,752.1
AU-NSW,2025-10-05 20:00:00,687.5
AU-NSW,2025-10-05 21:00:00,665.2
AU-NSW,2025-10-05 22:00:00,619.6
AU-NSW,2025-10-05 23:00:00,613.6
AU-NSW,2025-10-06 00:00:00,717.2
AU-NSW,2025-10-06 01:00:00,661.7
AU-NSW,2025-10-06 02:00:00,697.1
AU-NSW,2025-10-06 03:00:00,785.1
AU-NSW,2025-10-06 04:00:00,681.0
AU-NSW,2025-10-06 05:00:00,674.0
AU-NSW,2025-10-06 06:00:00,652.2
AU-NSW,2025-10-06 07:00:00,658.8
AU-NSW,2025-10-06 08:00:00,775.9
AU-NSW,2025-10-06 09:00:00,676.6
AU-NSW,2025-10-06 10:00:00,651.9
AU-NSW,2025-10-06 11:00:00,675.1
AU-NSW,2025-10-06 12:00:00,620.6
AU-NSW,2025-10-06 13:00:00,658.3
AU-NSW,2025-10-06 14:00:00,664.5
AU-NSW,2025-10-06 15:00:00,699.6
AU-NSW,2025-10-06 16:00:00,727.0
AU-NSW,2025-10-06 17:00:00,774.1
AU-NSW,2025-10-06 18:00:00,757.8
AU-NSW,2025-10-06 19:00:00,741.2
AU-NSW,2025-10-06 20:00:00,666.8
AU-NSW,2025-10-06 21:00:00,725.4
AU-NSW,2025-10-06 22:00:00,666.0
AU-NSW,2025-10-06 23:00:00,664.8
AU-NSW,2025-10-07 00:00:00,687.8
AU-NSW,2025-10-07 01:00:00,718.7
AU-NSW,2025-10-07 02:00:00,736.0
AU-NSW,2025-10-07 03:00:00,723.3
AU-NSW,2025-10-07 04:00:00,725.5
AU-NSW,2025-10-07 05:00:00,678.0
AU-NSW,2025-10-07 06:00:00,596.2
AU-NSW,2025-10-07 07:00:00,668.2
AU-NSW,2025-10-07 08:00:00,707.1
AU-NSW,2025-10-07 09:00:00,663.6
AU-NSW,2025-10-07 10:00:00,648.4
AU-NSW,2025-10-07 11:00:00,725.1
AU-NSW,2025-10-07 12:00:00,642.4
AU-NSW,2025-10-07 13:00:00,586.7
AU-NSW,2025-10-07 14:00:00,660.2
AU-NSW,2025-10-07 15:00:00,625.6
AU-NSW,2025-10-07 16:00:00,704.5
AU-NSW,2025-10-07 17:00:00,644.4
AU-NSW,2025-10-07 18:00:00,757.0
AU-NSW,2025-10-07 19:00:00,719.8
AU-NSW,2025-10-07 20:00:00,799.0
AU-NSW,2025-10-07 21:00:00,693.0
AU-NSW,2025-10-07 22:00:00,725.2
AU-NSW,2025-10-07 23:00:00,686.0
AU-NSW,2025-10-08 00:00:00,682.4
AU-NSW,2025-10-08 01:00:00,703.0
AU-NSW,2025-10-08 02:00:00,727.1
AU-NSW,2025-10-08 03:00:00,728.0
AU-NSW,2025-10-08 04:00:00,714.5
AU-NSW,2025-10-08 05:00:00,717.9
AU-NSW,2025-10-08 06:00:00,684.0
AU-NSW,2025-10-08 07:00:00,672.6
AU-NSW,2025-10-08 08:00:00,672.9
AU-NSW,2025-10-08 09:00:00,677.3
AU-NSW,2025-10-08 10:00:00,702.8
AU-NSW,2025-10-08 11:00:00,685.9
AU-NSW,2025-10-08 12:00:00,645.0
AU-NSW,2025-10-08 13:00:00,606.0
AU-NSW,2025-10-08 14:00:00,686.8
AU-NSW,2025-10-08 15:00:00,648.0
AU-NSW,2025-10-08 16:00:00,629.5
AU-NSW,2025-10-08 17:00:00,667.3
AU-NSW,2025-10-08 18:00:00,686.7
AU-NSW,2025-10-08 19:00:00,739.5
AU-NSW,2025-10-08 20:00:00,679.7
AU-NSW,2025-10-08 21:00:00,684.7
AU-NSW,2025-10-08 22:00:00,709.0
AU-NSW,2025-10-08 23:00:00,684.1
AU-NSW,2025-10-09 00:00:00,716.6
AU-NSW,2025-10-09 01:00:00,718.9
AU-NSW,2025-10-09 02:00:00,649.6
AU-NSW,2025-10-09 03:00:00,674.3
AU-NSW,2025-10-09 04:00:00,739.6
AU-NSW,2025-10-09 05:00:00,680.9
AU-NSW,2025-10-09 06:00:00,782.5
AU-NSW,2025-10-09 07:00:00,690.1
AU-NSW,2025-10-09 08:00:00,719.9
AU-NSW,2025-10-09 09:00:00,693.0
AU-NSW,2025-10-09 10:00:00,723.8
AU-NSW,2025-10-09 11:00:00,642.3
AU-NSW,2025-10-09 12:00:00,664.6
AU-NSW,2025-10-09 13:00:00,576.9
AU-NSW,2025-10-09 14:00:00,662.8
AU-NSW,2025-10-09 15:00:00,674.0
AU-NSW,2025-10-09 16:00:00,694.2
AU-NSW,2025-10-09 17:00:00,803.5
AU-NSW,2025-10-09 18:00:00,790.6
AU-NSW,2025-10-09 19:00:00,719.1
AU-NSW,2025-10-09 20:00:00,734.2
AU-NSW,2025-10-09 21:00:00,718.9
AU-NSW,2025-10-09 22:00:00,749.3
AU-NSW,2025-10-09 23:00:00,721.4
AU-NSW,2025-10-10 00:00:00,655.9
AU-NSW,2025-10-10 01:00:00,715.3
AU-NSW,2025-10-10 02:00:00,682.0
AU-NSW,2025-10-10 03:00:00,691.3
AU-NSW,2025-10-10 04:00:00,705.9
AU-NSW,2025-10-10 05:00:00,726.0
AU-NSW,2025-10-10 06:00:00,704.2
AU-NSW,2025-10-10 07:00:00,772.9
AU-NSW,2025-10-10 08:00:00,746.1
AU-NSW,2025-10-10 09:00:00,692.2
AU-NSW,2025-10-10 10:00:00,689.7
AU-NSW,2025-10-10 11:00:00,601.3
AU-NSW,2025-10-10 12:00:00,658.4
AU-NSW,2025-10-10 13:00:00,614.7
AU-NSW,2025-10-10 14:00:00,606.7
AU-NSW,2025-10-10 15:00:00,651.3
AU-NSW,2025-10-10 16:00:00,699.0
AU-NSW,2025-10-10 17:00:00,676.6
AU-NSW,2025-10-10 18:00:00,788.1
AU-NSW,2025-10-10 19:00:00,665.5
AU-NSW,2025-10-10 20:00:00,736.9
AU-NSW,2025-10-10 21:00:00,663.3
AU-NSW,2025-10-10 22:00:00,630.5
AU-NSW,2025-10-10 23:00:00,639.9
AU-NSW,2025-10-11 00:00:00,654.3
AU-NSW,2025-10-11 01:00:00,662.6
AU-NSW,2025-10-11 02:00:00,701.9
AU-NSW,2025-10-11 03:00:00,686.1
AU-NSW,2025-10-11 04:00:00,792.1
AU-NSW,2025-10-11 05:00:00,638.1
AU-NSW,2025-10-11 06:00:00,678.2
AU-NSW,2025-10-11 07:00:00,719.9
AU-NSW,2025-10-11 08:00:00,687.8
AU-NSW,2025-10-11 09:00:00,713.3
AU-NSW,2025-10-11 10:00:00,671.3
AU-NSW,2025-10-11 11:00:00,567.8
AU-NSW,2025-10-11 12:00:00,660.9
AU-NSW,2025-10-11 13:00:00,601.4
AU-NSW,2025-10-11 14:00:00,622.0
AU-NSW,2025-10-11 15:00:00,636.4
AU-NSW,2025-10-11 16:00:00,591.8
AU-NSW,2025-10-11 17:00:00,723.4
AU-NSW,2025-10-11 18:00:00,642.5
AU-NSW,2025-10-11 19:00:00,713.4
AU-NSW,2025-10-11 20:00:00,699.1
AU-NSW,2025-10-11 21:00:00,587.4
AU-NSW,2025-10-11 22:00:00,651.6
AU-NSW,2025-10-11 23:00:00,687.1
AU-NSW,2025-10-12 00:00:00,682.0
AU-NSW,2025-10-12 01:00:00,719.5
AU-NSW,2025-10-12 02:00:00,706.0
AU-NSW,2025-10-12 03:00:00,657.0
AU-NSW,2025-10-12 04:00:00,643.2
AU-NSW,2025-10-12 05:00:00,781.6
AU-NSW,2025-10-12 06:00:00,655.2
AU-NSW,2025-10-12 07:00:00,707.2
AU-NSW,2025-10-12 08:00:00,682.6
AU-NSW,2025-10-12 09:00:00,749.7
AU-NSW,2025-10-12 10:00:00,718.3
AU-NSW,2025-10-12 11:00:00,611.5
AU-NSW,2025-10-12 12:00:00,618.9
AU-NSW,2025-10-12 13:00:00,564.6
AU-NSW,2025-10-12 14:00:00,612.5
AU-NSW,2025-10-12 15:00:00,674.3
AU-NSW,2025-10-12 16:00:00,570.6
AU-NSW,2025-10-12 17:00:00,708.5
AU-NSW,2025-10-12 18:00:00,661.5
AU-NSW,2025-10-12 19:00:00,652.4
AU-NSW,2025-10-12 20:00:00,734.2
AU-NSW,2025-10-12 21:00:00,678.8
AU-NSW,2025-10-12 22:00:00,675.4
AU-NSW,2025-10-12 23:00:00,646.4
AU-NSW,2025-10-13 00:00:00,734.3
AU-NSW,2025-10-13 01:00:00,709.4
AU-NSW,2025-10-13 02:00:00,742.4
AU-NSW,2025-10-13 03:00:00,734.0
AU-NSW,2025-10-13 04:00:00,733.5
AU-NSW,2025-10-13 05:00:00,726.0
AU-NSW,2025-10-13 06:00:00,686.2
AU-NSW,2025-10-13 07:00:00,712.5
AU-NSW,2025-10-13 08:00:00,711.3
AU-NSW,2025-10-13 09:00:00,711.8
AU-NSW,2025-10-13 10:00:00,662.6
AU-NSW,2025-10-13 11:00:00,576.0
AU-NSW,2025-10-13 12:00:00,641.8
AU-NSW,2025-10-13 13:00:00,626.2
AU-NSW,2025-10-13 14:00:00,613.7
AU-NSW,2025-10-13 15:00:00,716.7
AU-NSW,2025-10-13 16:00:00,722.2
AU-NSW,2025-10-13 17:00:00,742.9
AU-NSW,2025-10-13 18:00:00,799.8
AU-NSW,2025-10-13 19:00:00,703.3
AU-NSW,2025-10-13 20:00:00,766.6
AU-NSW,2025-10-13 21:00:00,705.5
AU-NSW,2025-10-13 22:00:00,663.8
AU-NSW,2025-10-13 23:00:00,729.8
AU-NSW,2025-10-14 00:00:00,655.8
AU-NSW,2025-10-14 01:00:00,657.4
AU-NSW,2025-10-14 02:00:00,719.2
AU-NSW,2025-10-14 03:00:00,687.8
AU-NSW,2025-10-14 04:00:00,696.6
AU-NSW,2025-10-14 05:00:00,708.9
AU-NSW,2025-10-14 06:00:00,649.3
AU-NSW,2025-10-14 07:00:00,812.9
AU-NSW,2025-10-14 08:00:00,695.4
AU-NSW,2025-10-14 09:00:00,653.1
AU-NSW,2025-10-14 10:00:00,766.4
AU-NSW,2025-10-14 11:00:00,618.9
AU-NSW,2025-10-14 12:00:00,667.8
AU-NSW,2025-10-14 13:00:00,522.6
AU-NSW,2025-10-14 14:00:00,674.1
AU-NSW,2025-10-14 15:00:00,638.8
AU-NSW,2025-10-14 16:00:00,707.4
AU-NSW,2025-10-14 17:00:00,679.9
AU-NSW,2025-10-14 18:00:00,720.1
AU-NSW,2025-10-14 19:00:00,765.2
AU-NSW,2025-10-14 20:00:00,715.6
AU-NSW,2025-10-14 21:00:00,655.8
AU-NSW,2025-10-14 22:00:00,691.1
AU-NSW,2025-10-14 23:00:00,588.2
AU-NSW,2025-10-15 00:00:00,688.0
AU-NSW,2025-10-15 01:00:00,746.4
AU-NSW,2025-10-15 02:00:00,726.4
AU-NSW,2025-10-15 03:00:00,722.2
AU-NSW,2025-10-15 04:00:00,654.4
AU-NSW,2025-10-15 05:00:00,691.6
AU-NSW,2025-10-15 06:00:00,629.5
AU-NSW,2025-10-15 07:00:00,701.7
AU-NSW,2025-10-15 08:00:00,713.8
AU-NSW,2025-10-15 09:00:00,665.4
AU-NSW,2025-10-15 10:00:00,712.5
AU-NSW,2025-10-15 11:00:00,679.0
AU-NSW,2025-10-15 12:00:00,716.2
AU-NSW,2025-10-15 13:00:00,584.3
AU-NSW,2025-10-15 14:00:00,623.7
AU-NSW,2025-10-15 15:00:00,675.2
AU-NSW,2025-10-15 16:00:00,800.2
AU-NSW,2025-10-15 17:00:00,756.4
AU-NSW,2025-10-15 18:00:00,715.0
AU-NSW,2025-10-15 19:00:00,771.4
AU-NSW,2025-10-15 20:00:00,739.2
AU-NSW,2025-10-15 21:00:00,664.4
AU-NSW,2025-10-15 22:00:00,764.0
AU-NSW,2025-10-15 23:00:00,711.3
AU-NSW,2025-10-16 00:00:00,674.5
AU-NSW,2025-10-16 01:00:00,683.8
AU-NSW,2025-10-16 02:00:00,707.7
AU-NSW,2025-10-16 03:00:00,675.7
AU-NSW,2025-10-16 04:00:00,842.2
AU-NSW,2025-10-16 05:00:00,684.3
AU-NSW,2025-10-16 06:00:00,726.5
AU-NSW,2025-10-16 07:00:00,727.2
AU-NSW,2025-10-16 08:00:00,742.3
AU-NSW,2025-10-16 09:00:00,696.0
AU-NSW,2025-10-16 10:00:00,564.5
AU-NSW,2025-10-16 11:00:00,693.3
AU-NSW,2025-10-16 12:00:00,659.8
AU-NSW,2025-10-16 13:00:00,669.8
AU-NSW,2025-10-16 14:00:00,633.4
AU-NSW,2025-10-16 15:00:00,734.0
AU-NSW,2025-10-16 16:00:00,723.7
AU-NSW,2025-10-16 17:00:00,758.8
AU-NSW,2025-10-16 18:00:00,759.9
AU-NSW,2025-10-16 19:00:00,696.9
AU-NSW,2025-10-16 20:00:00,730.1
AU-NSW,2025-10-16 21:00:00,626.3
AU-NSW,2025-10-16 22:00:00,689.0
AU-NSW,2025-10-16 23:00:00,705.9
AU-NSW,2025-10-17 00:00:00,677.6
AU-NSW,2025-10-17 01:00:00,747.4
AU-NSW,2025-10-17 02:00:00,713.0
AU-NSW,2025-10-17 03:00:00,655.7
AU-NSW,2025-10-17 04:00:00,738.0
AU-NSW,2025-10-17 05:00:00,791.5
AU-NSW,2025-10-17 06:00:00,706.4
AU-NSW,2025-10-17 07:00:00,696.6
AU-NSW,2025-10-17 08:00:00,747.2
AU-NSW,2025-10-17 09:00:00,676.7
AU-NSW,2025-10-17 10:00:00,678.8
AU-NSW,2025-10-17 11:00:00,650.4
AU-NSW,2025-10-17 12:00:00,632.5
AU-NSW,2025-10-17 13:00:00,622.6
AU-NSW,2025-10-17 14:00:00,557.6
AU-NSW,2025-10-17 15:00:00,682.4
AU-NSW,2025-10-17 16:00:00,747.5
AU-NSW,2025-10-17 17:00:00,710.5
AU-NSW,2025-10-17 18:00:00,738.7
AU-NSW,2025-10-17 19:00:00,741.7
AU-NSW,2025-10-17 20:00:00,705.8
AU-NSW,2025-10-17 21:00:00,728.3
AU-NSW,2025-10-17 22:00:00,670.1
AU-NSW,2025-10-17 23:00:00,769.7
AU-NSW,2025-10-18 00:00:00,702.3
AU-NSW,2025-10-18 01:00:00,669.9
AU-NSW,2025-10-18 02:00:00,714.6
AU-NSW,2025-10-18 03:00:00,770.1
AU-NSW,2025-10-18 04:00:00,675.2
AU-NSW,2025-10-18 05:00:00,675.7
AU-NSW,2025-10-18 06:00:00,687.3
AU-NSW,2025-10-18 07:00:00,698.3
AU-NSW,2025-10-18 08:00:00,731.6
AU-NSW,2025-10-18 09:00:00,661.3
AU-NSW,2025-10-18 10:00:00,683.5
AU-NSW,2025-10-18 11:00:00,602.7
AU-NSW,2025-10-18 12:00:00,612.9
AU-NSW,2025-10-18 13:00:00,562.1
AU-NSW,2025-10-18 14:00:00,709.9
AU-NSW,2025-10-18 15:00:00,660.5
AU-NSW,2025-10-18 16:00:00,685.3
AU-NSW,2025-10-18 17:00:00,720.9
AU-NSW,2025-10-18 18:00:00,745.3
AU-NSW,2025-10-18 19:00:00,705.4
AU-NSW,2025-10-18 20:00:00,706.0
AU-NSW,2025-10-18 21:00:00,634.7
AU-NSW,2025-10-18 22:00:00,606.2
AU-NSW,2025-10-18 23:00:00,745.4
AU-NSW,2025-10-19 00:00:00,645.8
AU-NSW,2025-10-19 01:00:00,733.1
AU-NSW,2025-10-19 02:00:00,659.1
AU-NSW,2025-10-19 03:00:00,657.0
AU-NSW,2025-10-19 04:00:00,724.3
AU-NSW,2025-10-19 05:00:00,670.1
AU-NSW,2025-10-19 06:00:00,636.6
AU-NSW,2025-10-19 07:00:00,658.7
AU-NSW,2025-10-19 08:00:00,793.7
AU-NSW,2025-10-19 09:00:00,650.2
AU-NSW,2025-10-19 10:00:00,766.4
AU-NSW,2025-10-19 11:00:00,539.4
AU-NSW,2025-10-19 12:00:00,639.1
AU-NSW,2025-10-19 13:00:00,648.0
AU-NSW,2025-10-19 14:00:00,693.9
AU-NSW,2025-10-19 15:00:00,635.8
AU-NSW,2025-10-19 16:00:00,634.7
AU-NSW,2025-10-19 17:00:00,660.1
AU-NSW,2025-10-19 18:00:00,702.9
AU-NSW,2025-10-19 19:00:00,651.1
AU-NSW,2025-10-19 20:00:00,734.7
AU-NSW,2025-10-19 21:00:00,623.3
AU-NSW,2025-10-19 22:00:00,670.4
AU-NSW,2025-10-19 23:00:00,786.4
AU-NSW,2025-10-20 00:00:00,650.5
AU-NSW,2025-10-20 01:00:00,732.9
AU-NSW,2025-10-20 02:00:00,734.4
AU-NSW,2025-10-20 03:00:00,714.6
AU-NSW,2025-10-20 04:00:00,727.8
AU-NSW,2025-10-20 05:00:00,675.8
AU-NSW,2025-10-20 06:00:00,683.2
AU-NSW,2025-10-20 07:00:00,693.7
AU-NSW,2025-10-20 08:00:00,759.6
AU-NSW,2025-10-20 09:00:00,620.6
AU-NSW,2025-10-20 10:00:00,584.0
AU-NSW,2025-10-20 11:00:00,641.3
AU-NSW,2025-10-20 12:00:00,622.0
AU-NSW,2025-10-20 13:00:00,589.0
AU-NSW,2025-10-20 14:00:00,561.1
AU-NSW,2025-10-20 15:00:00,733.6
AU-NSW,2025-10-20 16:00:00,663.5
AU-NSW,2025-10-20 17:00:00,695.2
AU-NSW,2025-10-20 18:00:00,745.7
AU-NSW,2025-10-20 19:00:00,705.0
AU-NSW,2025-10-20 20:00:00,754.5
AU-NSW,2025-10-20 21:00:00,714.4
AU-NSW,2025-10-20 22:00:00,724.9
AU-NSW,2025-10-20 23:00:00,639.4
AU-NSW,2025-10-21 00:00:00,652.5
AU-NSW,2025-10-21 01:00:00,706.0
AU-NSW,2025-10-21 02:00:00,774.8
AU-NSW,2025-10-21 03:00:00,753.5
AU-NSW,2025-10-21 04:00:00,698.0
AU-NSW,2025-10-21 05:00:00,704.3
AU-NSW,2025-10-21 06:00:00,701.0
AU-NSW,2025-10-21 07:00:00,705.1
AU-NSW,2025-10-21 08:00:00,689.9
AU-NSW,2025-10-21 09:00:00,619.8
AU-NSW,2025-10-21 10:00:00,725.5
AU-NSW,2025-10-21 11:00:00,742.6
AU-NSW,2025-10-21 12:00:00,604.5
AU-NSW,2025-10-21 13:00:00,665.1
AU-NSW,2025-10-21 14:00:00,631.6
AU-NSW,2025-10-21 15:00:00,633.6
AU-NSW,2025-10-21 16:00:00,695.6
AU-NSW,2025-10-21 17:00:00,768.5
AU-NSW,2025-10-21 18:00:00,735.0
AU-NSW,2025-10-21 19:00:00,656.3
AU-NSW,2025-10-21 20:00:00,731.9
AU-NSW,2025-10-21 21:00:00,627.9
AU-NSW,2025-10-21 22:00:00,677.8
AU-NSW,2025-10-21 23:00:00,701.8
AU-NSW,2025-10-22 00:00:00,669.1
AU-NSW,2025-10-22 01:00:00,603.0
AU-NSW,2025-10-22 02:00:00,706.8
AU-NSW,2025-10-22 03:00:00,661.6
AU-NSW,2025-10-22 04:00:00,708.1
AU-NSW,2025-10-22 05:00:00,710.1
AU-NSW,2025-10-22 06:00:00,682.2
AU-NSW,2025-10-22 07:00:00,823.7
AU-NSW,2025-10-22 08:00:00,764.3
AU-NSW,2025-10-22 09:00:00,727.8
AU-NSW,2025-10-22 10:00:00,712.6
AU-NSW,2025-10-22 11:00:00,623.9
AU-NSW,2025-10-22 12:00:00,604.6
AU-NSW,2025-10-22 13:00:00,592.5
AU-NSW,2025-10-22 14:00:00,636.9
AU-NSW,2025-10-22 15:00:00,710.7
AU-NSW,2025-10-22 16:00:00,674.8
AU-NSW,2025-10-22 17:00:00,702.4
